Id. Agrupador,Agrupador,Id. RF.,Nombre Exigencia,Exigencia,Comentario,Propuso,Registro de trazabilidad
80,AG06,3,"El sistema debe permitir que se alerte al planificador cuando no exista ruta alternativa por bloqueos.",Exigible,,Saymon Nicho,No iniciado
81,AG06,4,"El sistema debe permitir que se descargue un reporte de los bloqueos aplicados y su duración.",Exigible,,Saymon Nicho,No iniciado
82,AG06,5,"El sistema debe permitir que ...",Exigible,,Saymon Nicho,No iniciado
83,AG07,1,"El sistema debe permitir que se ejecute la “operación día a día” con seguimiento en tiempo real.",Exigible,,Jeremy López,No iniciado
84,AG07,2,"El sistema debe permitir que se ejecute la “simulación semanal” con un tiempo de ejecución de no mayor a una hora",Deseable,,Jeremy López,No iniciado
85,AG07,3,"El sistema debe permitir que se ejecute la “simulación hasta el colapso” para identificar el punto en que las operaciones se vuelven insostenibles.",Exigible,,Jeremy López,No iniciado
86,AG07,4,"El sistema debe permitir que el usuario ajuste parámetros como velocidad de simulación o densidad de pedidos en cada escenario.",Exigible,,Jeremy López,No iniciado
87,AG07,5,"El sistema debe permitir que se genere un archivo log con los eventos relevantes de la simulación (asignaciones, averías, etc.).",Deseable,,Jeremy López,No iniciado
88,AG07,6,"El sistema debe permitir que se muestren métricas clave (consumo total, pedidos cumplidos, tiempo promedio de entrega) al finalizar cada escenario.",Exigible,,Jeremy López,No iniciado
89,AG08,1,"El sistema debe permitir que se generen reportes en PDF/Excel con el resumen de entregas diarias.",Exigible,,James Martinez,No iniciado
90,AG08,2,"El sistema debe permitir que se incluyan gráficos de uso de la flota en los reportes.",Exigible,,James Martinez,No iniciado
91,AG08,3,"El sistema debe permitir que se programen envíos automáticos de reportes por correo.",Deseable,,Matias Sulca,No iniciado
92,AG08,4,"El sistema debe permitir que se presente un panel con KPIs (tiempos promedio de entrega, consumo, averías, etc.).",Exigible,,Matias Sulca,No iniciado
93,AG08,5,"El sistema debe permitir que se reporten los pedidos incumplidos junto con la causa (falta de camión, bloqueo, etc.).",Exigible,,Matias Sulca,No iniciado
94,AG08,6,"El sistema debe permitir que se generen estadísticas de uso de los camiones, incluyendo consumo de combustible y kilómetros recorridos.",Exigible,,Jeremy López,No iniciado
95,AG08,7,"El sistema debe permitir que se generen reportes sobre la eficiencia y desempeño de los pedidos, comparando el tiempo solicitado versus el tiempo de entrega.",Deseable,,Jeremy López,No iniciado
96,AG08,8,"El sistema debe permitir que se generen reportes sobre eficiencia y consumo de combustible (pueden ser parte de los KPIs).",Exigible,,Matias Sulca,No iniciado
97,AG08,9,"El sistema debe permitir que se generen reportes sobre las averías ocurridas, incluidas su tipo, camión afectado tiempo de inmovilización del vehículo, etc.",Exigible,,Jeremy López,No iniciado
98,AG08,10,"El sistema generará reportes de tipo PDF y/o Excel con el historial de los pedidos hechos y los detalles de entrega según el cliente.",Exigible,,Jeremy López,No iniciado
99,AG08,11,"El sistema permitirá generar estadísticas de uso de los tanques intermedios, como las horas de mayor uso, tanque más usado, etc.",Deseable,,Jeremy López,No iniciado
100,AG08,12,"El sistema generará reportes de tipo PDF y/o Excel con el log de los eventos ocurridos al finalizar la simulación.",Deseable,,Jeremy López,No iniciado
